datetime,open,high,low,close,volume,vwap,timestamp,transactions,otc
2024-12-02 09:00:00,601.9,601.9,601.44,601.66,11681.0,601.5959,1733130000000,79,
2024-12-02 09:01:00,601.71,601.71,601.61,601.61,1320.0,601.6041,1733130060000,47,
2024-12-02 09:02:00,601.61,601.65,601.61,601.65,4169.0,601.6196,1733130120000,73,
2024-12-02 09:03:00,601.64,601.64,601.5,601.5,1363.0,601.5402,1733130180000,45,
2024-12-02 09:05:00,601.49,601.49,601.49,601.49,344.0,601.5234,1733130300000,31,
