ts_event,symbol,open,high,low,close,volume
2023-03-28 11:06:00+00:00,SPY,395.92,395.92,395.82,395.82,955
2023-03-28 11:10:00+00:00,SPY,395.8,395.8,395.8,395.8,450
2023-03-28 11:15:00+00:00,SPY,395.87,395.87,395.87,395.87,13
2023-03-28 11:21:00+00:00,SPY,396.2,396.2,396.2,396.2,68
2023-03-28 11:22:00+00:00,SPY,396.15,396.15,396.15,396.15,400
